title,journal,authors,year
Has the College Wage Premium Continued to Rise? Evidence from Multiple U.S. Surveys., Economics of Education Review 69 ,"Ashworth, Jared and Tyler Ransom. ",2019
A Mercenary Army of the Poor? Technological Change and the Demographic Composition of the Post-9/11 U.S. Military., Journal of Strategic Studies published online ,"Asoni, Andrea, Andrea Gilli, Mauro Gilli and Tino Sanandaji. ",2020
Identifying the Effect of College Education on Business and Employment Survival.," Small Business Economics 46,2 ","Asoni, Andrea and Tino Sanandaji. ",2016
Men's Work Efforts and the Transition to Fatherhood.," Journal of Family and Economic Issues 31,1 ","Astone, Nan Marie, Jacinda K. Dariotis, Freya L. Sonenstein, Joseph H. Pleck and Kathryn Hynes. ",2010
"Are Changes of Major Major Changes? The Roles of Grades, Gender, and Preferences in College Major Switching.", Economics of Education Review 70 ,"Astorne-Figari, Carmen and Jamin D. Speer. ",2019
"Drop Out, Switch Majors, or Persist? The Contrasting Gender Gaps.", Economics Letters 164 ,"Astorne-Figari, Carmen and Jamin D. Speer. ",2018
Association between Increased Emergency Contraception Availability and Risky Sexual Practices.," Health Services Research 50,3 ","Atkins, Danielle N. and W. David Bradford. ",2015
Association of Childhood Personality on Sexual Risk Taking During Adolescence.," Journal of School Health 78,11 ","Atkins, Robert L. ",2008
The Association of Personality Type in Childhood with Violence in Adolescence.," Research in Nursing and Health 30,3 ","Atkins, Robert L. ",2007
The Under-Controlled Do It First: Childhood Personality and Sexual Debut.," Research in Nursing and Health 31,6 ","Atkins, Robert L. and Daniel Hart. ",2008
The Association of Childhood Personality Type With Volunteering During Adolescence.," Merrill-Palmer Quarterly 51, 2 ","Atkins, Robert L., Daniel Hart and Thomas M. Donnelly. ",2005
Association of Personality and the Likelihood of Serious Unintentional Injury During Childhood.," Journal of Pediatric Nursing 23,6 ","Atkins, Robert L. and M. Kyle Matsuba. ",2008
Does Head Start Yield Long-Term Benefits?," Journal of Human Resources 36,4 ","Aughinbaugh, Alison Aileen. ",2001
The Effects of High School Math Curriculum on College Attendance: Evidence from the NLSY97.," Economics of Education Review 31,6 ","Aughinbaugh, Alison Aileen. ",2012
The Impact of Attrition on the Children of the NLSY79.," Journal of Human Resources 39,2 ","Aughinbaugh, Alison Aileen. ",
The Relationship Between Female Labor Supply and Caregiving Over the Life Cycle.," Innovation in Aging 4, S1 ","Aughinbaugh, Alison Aileen. ",2020
Who Goes To College? Evidence From The NLSY97.," Monthly Labor Review 131,8 ","Aughinbaugh, Alison Aileen. ",2008
Does Money Matter? A Comparison of the Effect of Income on Child Development in the United States and Great Britain.," Journal of Human Resources 38,2 ","Aughinbaugh, Alison Aileen and Maury Gittleman. ",2003
Maternal Employment and Adolescent Risky Behavior.," Journal of Health Economics 23,4 ","Aughinbaugh, Alison Aileen and Maury Gittleman. ",2004
The Impact of Family Structure Transitions on Youth Achievement: Evidence from the Children of the NLSY79 .," Demography 42,3 ","Aughinbaugh, Alison Aileen, Charles R. Pierret and Donna S. Rothstein. ",2005
The National Longitudinal Surveys of Youth: Research Highlights., Monthly Labor Review ,"Aughinbaugh, Alison Aileen, Charles R. Pierret and Donna S. Rothstein. ",2015
"Marriage and Divorce: Patterns by Gender, Race, and Educational Attainment.", Monthly Labor Review ,"Aughinbaugh, Alison Aileen, Omar Robles and Hugette Sun. ",2013
Do Cognitive Skills Moderate the Influence of Neighborhood Disadvantage on Subsequent Educational Attainment? ., Economics of Education Review 44 ,"Aughinbaugh, Alison Aileen and Donna S. Rothstein. ",2015
Fertility of Women in the NLSY79., Monthly Labor Review ,"Aughinbaugh, Alison Aileen and Hugette Sun. ",2016
Exploring New Life Course Patterns of Mother's Continuing Secondary and College Education.," Population Research and Policy Review 35,6 ","Augustine, Jennifer March. ",2016
Increased Educational Attainment among U.S. Mothers and their Children's Academic Expectations., Research in Social Stratification and Mobility 52 ,"Augustine, Jennifer March. ",2017
Can Increased Educational Attainment Among Lower-Educated Mothers Reduce Inequalities in Children's Skill Development?," Demography 55,1 ","Augustine, Jennifer March and Daniela V. Negraia. ",2018
"Schooling, Cognitive Ability and Health."," Health Economics 14,10 ","Auld, M. Christopher and Nirmal S. Sidhu. ",2005
Has the Price of Motherhood Declined Over Time? A Cross-Cohort Comparison of the Motherhood Wage Penalty.," Journal of Marriage and Family 65,3 ","Avellar, Sarah A. and Pamela Jane Smock. ",2003
The Economic Consequences of the Dissolution of Cohabiting Unions.," Journal of Marriage and Family 67,2 ","Avellar, Sarah A. and Pamela Jane Smock. ",2005
Racial and Gender Differences in the Returns to 2-Year and 4-Year Degrees.," Education Economics 9,3 ","Averett, Susan L. and Sharon Dalessandro. ",2001
Prepregnancy Obesity and Birth Outcomes.," Maternal and Child Health Journal 20,3 ","Averett, Susan L. and Erin K. Fletcher. ",2016
Paternal Child Care and Children's Development.," Journal of Population Economics 18,3 ","Averett, Susan L., Lisa Anoush Gennetian and H. Elizabeth Peters. ",2005
Patterns and Determinants of Paternal Child Care During a Child's First Three Years of Life.," Marriage and Family Review 29,2-3 ","Averett, Susan L., Lisa Anoush Gennetian and H. Elizabeth Peters. ",2000
Black-White Differences in Social and Economic Consequences of Obesity.," International Journal of Obesity 23,2 ","Averett, Susan L. and Sanders D. Korenman. ",1999
The Economic Reality of the Beauty Myth.," Journal of Human Resources 31,2 ","Averett, Susan L. and Sanders D. Korenman. ",1996
"Tax Credits, Labor Supply, and Child Care."," The Review of Economics and Statistics 79,1 ","Averett, Susan L., H. Elizabeth Peters and Donald M. Waldman. ",1997
For Better or Worse: Relationship Status and Body Mass Index.," Economics and Human Biology 6,3 ","Averett, Susan L., Asia Sikora and Laura M. Argys. ",2008
Race and Gender Differences in The Cognitive Effects of Childhood Overweight.," Applied Economics Letters 17,17 ","Averett, Susan L. and David C. Stifel. ",2010
"Effects of Higher EITC Payments on Children's Health, Quality of Home Environment, and Noncognitive Skills."," Public Finance Review 46,4 ","Averett, Susan L. and Yang Wang. ",2018
The Effects of Earned Income Tax Credit Payment Expansion on Maternal Smoking.," Health Economics 22,11 ","Averett, Susan L. and Yang Wang. ",2013
Does Maternity Leave Induce Births?," Southern Economic Journal 68,2 ","Averett, Susan L. and Leslie A. Whittington. ",2001
"Leisure College, USA: The Decline in Student Study Time.", American Enterprise Institute Education Outlook 7 ,"Babcock, Philip and Mindy S. Marks. ",2010
The Falling Time Cost of College: Evidence from Half a Century of Time Use Data.," Review of Economics and Statistics 93,2 ","Babcock, Philip and Mindy S. Marks. ",2011
Marginal Structural Models: An Application to Incarceration and Marriage During Young Adulthood.," Journal of Marriage and Family 77,1 ","Bacak, Valerio and Edward H. Kennedy. ",2015
An Empirical Assessment of the 'Healthy Prisoner Hypothesis'., Social Science and Medicine 138 ,"Bacak, Valerio and Christopher Wildeman. ",2015
"Yea-saying, Nay-saying, and Going to Extremes: Black-White Differences in Response Style."," Public Opinion Quarterly 48,2 ","Bachman, Jerald G. and Patrick M. Omalley. ",1984
Do Alternative Opportunities Matter? The Role of Female Labor Markets in the Decline of Teacher Quality.," Review of Economics and Statistics 89,4 ","Bacolod, Marigee Ponla. ",2007
Skills in the City.," Journal of Urban Economics 65,2 ","Bacolod, Marigee Ponla, Bernardo S. Blum and William C. Strange. ",2009
Cohort Changes in the Transition from School to Work: Evidence from Three NLS Surveys.," Economics of Education Review 25,4 ","Bacolod, Marigee Ponla and V. Joseph Hotz. ",2006
Teen Parents' Cumulative Inequality in Job Achievement: Mediation Effect of Educational Achievement.," Social Work Research 44,2 ","Bae, Junghee. ",2020
Millennial Generation's Job Search Activity and Job Quality: Findings from the National Longitudinal Survey of Youth.," Journal of Social Service Research 45,2 ","Bae, Junghee and Orion Mowbray. ",2019
"Sex, Marijuana and Baby Booms.", Journal of Health Economics 70 ,"Baggio, Michele, Alberto Chong and David Simon. ",2020
Factors Related to the Quality of the Home Environment and Children's Achievement.," Journal of Family Issues 19,4 ","Baharudin, Rozumah and Thomas Luster. ",1998
The Effects of Welfare on Marital Stability and Remarriage.," Journal of Marriage and Family 41,3 ","Bahr, Stephen J. ",1979
Welfare and Marital Dissolution: A Reply.," Journal of Marriage and Family 43,2 ","Bahr, Stephen J. ",1981
"Sex Role Attitudes, Female Employment, and Marital Satisfaction.", Journal of Comparative Family Studies 9 ,"Bahr, Stephen J. and Randal D. Day. ",1978
Teenage Marriage and Marital Stability.," Youth and Society 15,4 ","Bahr, Stephen J. and Richard J. Galligan. ",1984
"Family Size, Intelligence, and Expected Education."," Journal of Marriage and Family 40,2 ","Bahr, Stephen J. and Geoffrey K. Leigh. ",1978
The Impact of Different Drinking Habits on Marijuana Use among College-aged Youths., Social Science Journal published online ,"Bai, Zefeng. ",2019
Getting on Your Bike: What Difference Does a Migration History Make?," Tijdschrift voor Economische en Sociale Geografie 80,5 ","Bailey, Adrian John. ",1989
"Migration History, Migration Behavior and Selectivity."," Annals of Regional Science 27,4 ","Bailey, Adrian John. ",1993
Opportunities for Geographic Research with the National Longitudinal Survey of Youth.," Journal of Economic and Social Measurement 20,1 ","Bailey, Adrian John. ",1994
"Veteran Status, Income, and Intergenerational Mobility Across Three Cohorts of American Men."," Population Research and Policy Review 37,4 ","Bailey, Amy Kate and Bryan L. Sykes. ",2018
Who Pays for Obesity? Evidence from Health Insurance Benefit Mandates.," Economics Letters 121,2 ","Bailey, James. ",2013
The Opt-In Revolution? Contraception and the Gender Gap in Wages.," American Economic Journal: Applied Economics 4,3 ","Bailey, Martha J., Brad Hershbein and Amalia Rebecca Miller. ",2012
Going Against the Flow: A Longitudinal Study of the Effects of Cognitive Skills and Gender Beliefs on Occupational Aspirations and Outcomes.," Sociological Forum 27,4 ","Baird, Chardie L. ",2012
Importance of Community Context for Young Women's Occupational Aspirations.," Sex Roles 58,3-4 ","Baird, Chardie L. ",2008
Family-friendly Benefits and Full-time Working Mothers' Labor Force Persistence.," Community, Work and Family 21,2 ","Baird, Chardie L. and Stephanie Burge. ",2018
"Employee Awareness of Family Leave Benefits: The Effects of Family, Work, and Gender."," Sociological Quarterly 45,2 ","Baird, Chardie L. and John R. Reynolds. ",2004
Labor Supply Estimation Biases from Disregarding Nonwage Benefits.," Economic Inquiry 55,2 ","Baird, Matthew D. ",2017
An Empirical Study of New High School and College Graduates' Wages Using Alternative Labor Market Models.," Review of Higher Education 8,3 ","Baktari, Paul and John T. Grasso. ",1985
Welfare and the Children of Immigrants: Transmission of Dependence or Investment in the Future?," Population Research and Policy Review 29,5 ","Balistreri, Kelly Stamper. ",2010
Parental Problem-Drinking and Adult Children's Labor Market Outcomes.," Journal of Human Resources 43,2 ","Balsa, Ana I. ",2008
Health Effects of Parental Problem Drinking on Adult Children.," Journal of Mental Health Policy and Economics 12,2 ","Balsa, Ana I., Jenny F. Homer and Michael T. French. ",2009
Black Americans and Poverty: Role of Education and Racial Discrimination in the Vicious Circle of Poverty., Doshisha American Studies Journal 15 ,"Bamba, Hiroya. ",1979
Human Resources Micro Data of the United States of America (The National Longitudinal Surveys) and a Package for Using Magnetic Tape Data.," Doshisha American Studies Journal, Supplement 4 ","Bamba, Hiroya. ",1979
Women and Labor (Part 2): Sex Discrimination in the American Labor Market., Doshisha American Studies Journal 17 ,"Bamba, Hiroya. ",1981
Women and Labor: Rise in the Labor Force Participation Rate of Women in Post-War America., Doshisha American Studies Journal 16 ,"Bamba, Hiroya. ",1980
Borrowing Constraints during the Housing Bubble., Journal of Housing Economics 24 ,"Barakova, Irina, Paul S. Calem and Susan M. Wachter. ",2014
Children's Experiences After the Unintended Birth of a Sibling.," Demography 48,1 ","Barber, Jennifer S. and Patricia L. East. ",2011
Home and Parenting Resources Available to Siblings Depending on Their Birth Intention Status.," Child Development 80,3 ","Barber, Jennifer S. and Patricia L. East. ",2009
The Effects of Offshoring on Employer-provided Training.," Journal of International Trade and Economic Development: An International and Comparative Review 25,4 ","Barbu, Emilia and Xueda Song. ",2016
Sibling Influence on Smoking Behavior: A Within-Family Look at Explanations for a Birth-Order Effect.," Journal of Applied Social Psychology 33,9 ","Bard, David E. and Joseph Lee Rodgers. ",2003
Racial/Ethnic Differences in the Longitudinal Progression of Co-occurring Negative Affect and Cigarette Use: From Adolescence to Young Adulthood.," Addictive Behaviors 37,5 ","Bares, Cristina and Fernando Andrade. ",2012
Homeownership and Child Welfare.," Real Estate Economics 37,2 ","Barker, David and Eric Miller. ",2009
Identification of Search Models using Record Statistics.," Review of Economic Studies 75,1 ","Barlevy, Gadi. ",2008
Why Are the Wages of Job Changers So Procyclical?," Journal of Labor Economics 19,4 ","Barlevy, Gadi. ",2001
Estimating Mobility Rates in Search Models with Initial Condition Problems .," Review of Economic Dynamics 13,4 ","Barlevy, Gadi and H.N. Nagaraja. ",2010
Persistent Exposure to Poverty During Childhood Limits Later Leader Emergence.," Journal of Applied Psychology 101,9 ","Barling, Julian and Julie G. Weatherhead. ",2016
