title,keywords,authors,journal,year
Multiperiod Probit Models and Orthogonality Condition Estimation,Keywords: Statistical & Econometric Methods,"Avery, R., Hansen, L. P., and Hotz, Joseph.", International Economic Review, 1983
Union Effects on Employment Stability: A Comparison of Panel Versus Cross-sectional Data,Keywords: Labor Market & Outcomes,"Polachek, Solomon W. and McCutcheon, E.", Journal of Labor Research, 1983
"Union Effects: Wages, Turnover, and Job Training",Keywords: Labor Market & Outcomes,"Mincer, Jacob.", Research in Labor Economics, 1983
Using Sample Survey Weights in Multiple Regression Analyses of Stratified Samples,"Keywords: Aging, Education Attainment & Achievement, Intergenerational Influences & Transfers, Survey Methodology","DuMouchel, William H. and Duncan, Greg J.", Journal of the American Statistical Association, 1983
What Averages Don't Reveal About Real Economic Growth,"Keywords: Expenditures, Savings & Consumption, Income","Gottschalk, Peter and Maloney, Tim.", Journal of Policy Analysis and Management, 1983
Work Patterns of Older Black Female Heads of Households,"Keywords: Aging, Gender Differences, Labor Market & Outcomes, Racial-Ethnic Differences","Gibson, Rose C.", Journal of Minority Aging, 1983
Working Wives and the Marginal Propensity to Consume Food Away From Home,"Keywords: Expenditures, Savings & Consumption, Food & Nutrition, Gender Differences, Labor Market & Outcomes","Kinsey, J.", American Journal of Agricultural Economics, 1983
A New Look at the Causes of the Improved Economic Status of Black Workers,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Duncan, Greg J. and Hoffman, Saul.", The Journal of Human Resources, 1983
Nonparticipation in Welfare Programs by Eligible Households: the Case of the Food Stamp Program,"Keywords: Food & Nutrition, Government Transfers, Poverty","Coe, Richard D.", Journal of Economic Issues, 1983
Old Fashioned Families as an Endangered Species,Keywords: Family Formation & Composition,"Smith, A. Wade.", Social Indicators Research, 1983
Poverty and Welfare Dependence Across Generations,"Keywords: Aging, Government Transfers, Intergenerational Influences & Transfers, Poverty","Hill, Martha S. and Ponza, Michael.", Economic Outlook USA, 1983
Regional Labor Markets and the Household Migration Decision,"Keywords: Income, Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Krumm, Ronald.", Journal of Regional Science, 1983
Repeat Migration in the United States: Who Moves Back and Who Moves On?,Keywords: Neighborhoods & Geographic Mobility,"DaVanzo, Julie.",Repeat Migration in the United States: Who Moves Back and Who Moves On? The Review of Economics and Statistics, 1983
Risk Preference and the Inter-Industry Propensity to Strike,Keywords: Labor Market & Outcomes,"Leigh, J. Paul.", Industrial and Labor Relations Review, 1983
Housing and Poverty,"Keywords: Housing, Income, Poverty","Newman, Sandra J. and Struyk, Raymond J.", The Review of Economics and Statistics, 1983
"Differentiating Between Living Standards of Husbands and Wives in Two-Wage Earner Families, 1968 and 1979","Keywords: Family Formation & Composition, Gender Differences, Income","Spalter-Roth, Roberta.", The Journal of Economic History, 1983
Direct and Indirect Effects of Education on Health,"Keywords: Aging, Education Attainment & Achievement, Health, Disability & Mortality","Leigh, J. Paul.", Social Science & Medicine, 1983
The Impact of Income Components on the Distribution of Family Incomes,"Keywords: Income, Statistical & Econometric Methods","Shorrocks, A. F.", The Quarterly Journal of Economics, 1983
"Childbearing Decision-Making and Family Well-Being: a Dynamic, Sequential Model","Keywords: Family Formation & Composition, Income","Hofferth, Sandra L.", American Sociological Review, 1983
Compensating Differences and Interregional Wage Differentials,"Keywords: Income, Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Gerking, Shelby D. and Wierick, William N.", The Review of Economics and Statistics, 1983
"Contracts, Job Experience and Cyclical Labor Market Adjustments",Keywords: Labor Market & Outcomes,"Raisian, John.", Journal of Labor Economics, 1983
The Impact of Informal Networks on Quit Behavior,"Keywords: Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Datcher, Linda.", The Review of Economics and Statistics, 1983
An Economic Model of Welfare Stigma,"Keywords: Government Transfers, Poverty","Moffitt, Robert.", American Economic Review, 1983
Estimating Dynamic Random Effects Models From Panel Data Covering Short Time Periods,Keywords: Statistical & Econometric Methods,"Bhargava, Alok and Sargan, J. D.", Econometrica, 1983
Factors Affecting Urban-to-Rural Migration,Keywords: Neighborhoods & Geographic Mobility,"Kim, Joochul.", Growth and Change, 1983
Family Structure and Stress: a Longitudinal Comparison of Male and Female-Headed Families,"Keywords: Family Formation & Composition, Gender Differences","McLanahan, Sara.", Journal of Marriage and Family, 1983
Home Production and the Tax System,"Keywords: Taxes, Time Use & Home Production","Leuthold, Jane H.", Journal of Economic Psychology, 1983
Is Population Decentralization Lengthening Commuting Distances?,"Keywords: Expenditures, Savings & Consumption, Neighborhoods & Geographic Mobility","Morrison, Peter and Abrahamse, Allan.", Population Research and Policy Review, 1983
Job Choice Across Industries When Earnings Are Uncertain,Keywords: Labor Market & Outcomes,"Leigh, J. Paul.", Quarterly Review of Economics and Business, 1983
"The Level and Growth of Union/Nonunion Relative Wage Effects, 1967-1977",Keywords: Labor Market & Outcomes,"Moore, William and Raisian, John.", Journal of Labor Research, 1983
Life-Course Effects on Marital Disruption,Keywords: Family Formation & Composition,"Smith, A. Wade and Meitz, June.", Social Indicators Research, 1983
A Longitudinal Analysis of White Women's Wages,"Keywords: Gender Differences, Income, Labor Market & Outcomes","Corcoran, Mary, Duncan, Greg J., and Ponza, Michael.", The Journal of Human Resources, 1983
The Pareto Curve and Its Utility for Open-Ended Income Distributions in Survey Research,"Keywords: Income, Statistical & Econometric Methods","Parker, Robert Nash and Fenwick, Rudy.", Social Forces, 1983
The Permanent Income Hypothesis and the Real Interest Rate: Some Evidence from Panel Data,"Keywords: Expenditures, Savings & Consumption, Income, Statistical & Econometric Methods","Shapiro, Matthew D.", Economics Letters, 1984
Investigating the Differences in Weekly Earnings of Women and Men,"Keywords: Gender Differences, Labor Market & Outcomes","Mellor, Earl F.", Monthly Labor Review, 1984
Racial Inequality and the Probability of Occupation-Related Injury or Illness. The Milbank Memorial Fund Quarterly,"Keywords: Health, Disability & Mortality, Labor Market & Outcomes, Racial-Ethnic Differences","Robinson, James C.", Health and Society, 1984
A Longitudinal Examination of the Separation/Divorce Process,Keywords: Family Formation & Composition,"Erbes, Janine Ywomey and Hedderson, John J.", Journal of Marriage and Family, 1984
Length of Service and Layoffs in Union and Nonunion Work Groups,Keywords: Labor Market & Outcomes,"Abraham, Katharine G. and Medoff, James L.", ILR Review, 1984
Wage Appreciation and Depreciation: A Test of Neoclassical Economic Explanations of Occupational Sex Segregation,"Keywords: Gender Differences, Income, Labor Market & Outcomes","England, Paula.", Social Forces, 1984
The Institutional Inadequacy of the Market in Determining Comparable Worth: Implications for Value Theory,"Keywords: Gender Differences, Labor Market & Outcomes","Greenwood, Daphne.", Journal of Economic Issues, 1984
Reverse Regression and Salary Discrimination,"Keywords: Gender Differences, Labor Market & Outcomes, Racial-Ethnic Differences, Statistical & Econometric Methods","Goldberger, Arthur S.", The Journal of Human Resources, 1984
The Decline in Male Labor Force Participation: a Comment,"Keywords: Government Transfers, Statistical & Econometric Methods","Haveman, Robert and Wolfe, Barbara.", Journal of Political Economy, 1984
Disability Transfers and Early Retirement: a Causal Relationship?,"Keywords: Aging, Government Transfers, Health, Disability & Mortality, Retirement","Haveman, Robert and Wolfe, Barbara.",Disability Transfers and Early Retirement: a Causal Relationship? Journal of Public Economics, 1984
Discrete Choices in a Continuous Time Model: Life-Cycle Time Allocation and Fertility Decisions,"Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Vijverberg, Wilhelmus.", Research in Population Economics, 1984
Do Union Members Receive Compensating Wages for Accepting Employment in Strike Prone or Hazardous Industries?,Keywords: Labor Market & Outcomes,"Leigh, J. Paul.", Social Science Quarterly, 1984
The Economic Fortunes of Women and Children-Lessons from the Panel Study of Income Dynamics,"Keywords: Education Attainment & Achievement, Family Formation & Composition, Gender Differences, Labor Market & Outcomes, Poverty","Corcoran, Mary, Duncan, Greg J., and Hill, Martha S.", Signs, 1984
An Alternative Targeting Strategy for Housing Assistance,"Keywords: Aging, Government Transfers, Housing, Poverty","Newman, Sandra J. and Struyk, Raymond J.", The Gerontologist, 1984
America's Children and Public Policy in the 1980s,"Keywords: Family Formation & Composition, Survey Methodology","Hernandez, Donald J.", Acta Paedologica, 1984
An Annual Forecasting Model for Illinois Taxes,Keywords: Taxes,"Leuthold, Jane H.", Illinois Business Review, 1984
Black-White Differences in Returns to Higher Education: Evidence from the 1970s,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes, Racial-Ethnic Differences","Hoffman, Saul.", Economics of Education Review, 1984
Income Splitting and Women's Labor Force Participation,"Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes, Taxes","Leuthold, Jane H.", Industrial and Labor Relations Review, 1984
"Kin Networks, Race and Family Structure","Keywords: Aging, Family Formation & Composition, Intergenerational Influences & Transfers, Racial-Ethnic Differences","Hofferth, Sandra L.", Journal of Marriage and Family, 1984
Life Events and Psychological Well-Being: a Reexamination of Theoretical and Methodological Issues,"Keywords: Family Formation & Composition, Labor Market & Outcomes, Neighborhoods & Geographic Mobility","McLanahan, Sara and Sorensen, Aage B.", Social Science Research, 1984
Consequences of Retirement,"Keywords: Aging, Health, Disability & Mortality, Income, Retirement","Palmore, Erdman, Fillenbaum, Gerda, and George, Linda.", Journal of Gerontology, 1984
An Empirical Bargaining Model of Strike Frequencies Across Industries,Keywords: Labor Market & Outcomes,"Leigh, J. Paul.", Journal of Labor Research, 1984
Estimates of the Value of Accident Avoidance at the Job Depend on the Concavity of the Equalizing Differences Curve,Keywords: Labor Market & Outcomes,"Leigh, J. Paul and Folsom, Roger.", Quarterly Review of Economics and Business, 1984
Estimating Parameters of a Household Production Function with Joint Production,"Keywords: Income, Time Use & Home Production","Graham, J. and Green, C.", The Review of Economics and Statistics, 1984
Family Labor Supply with Taxes,"Keywords: Income, Labor Market & Outcomes, Taxes","Hausman, Jerry A. and Ruud, P.", American Economic Review, 1984
A Model of Occupational Choice,Keywords: Labor Market & Outcomes,"Falaris, Evangelos.", Research in Population Economics, 1984
Parental Time Devoted to Children in Two- and One-wage-earner Families,"Keywords: Education Attainment & Achievement, Family Formation & Composition, Income, Time Use & Home Production","Hunt, Janet and Kiker, F. B.", Economics of Education Review, 1984
Unionized Construction Workers are More Productive,Keywords: Labor Market & Outcomes,"Allen, Steven.", The Quarterly Journal of Economics, 1984
A Framework for Setting Retirement Savings Goals,"Keywords: Aging, Expenditures, Savings & Consumption, Retirement, Wealth, Assets & Pensions","Duncan, Greg J., Mitchell, Olivia, and Morgan, James N.", The Journal of Consumer Affairs, 1984
The Impact of Marital Dissolution on Income and Consumption in Single-parent Households,"Keywords: Expenditures, Savings & Consumption, Family Formation & Composition, Food & Nutrition, Gender Differences, Labor Market & Outcomes","Weiss, Robert S.", Journal of Marriage and Family, 1984
Income Sources of the Elderly,"Keywords: Aging, Income, Wealth, Assets & Pensions","Root, Lawrence and Tropman, John.", Social Service Review, 1984
Longitudinal Analyses of the Effects of Trade Unions,Keywords: Labor Market & Outcomes,"Freeman, Richard.", Journal of Labor Economics, 1984
